Number of Hidden Layers, Number of Nodes per Hidden Layer, Activation function, learning rate, accuracy
3,21,Softmax,3.2000000000000015,0.3566958698372966
3,21,Softmax,3.3000000000000016,0.32916145181476847
3,21,Softmax,3.4000000000000017,0.3566958698372966
3,21,Softmax,3.5000000000000018,0.47309136420525655
3,21,Softmax,3.600000000000002,0.3566958698372966
3,21,Softmax,3.700000000000002,0.3566958698372966
3,21,Tanh,2.2000000000000006,0.4518147684605757
3,21,Tanh,2.3000000000000007,0.39424280350438046
3,21,Tanh,2.400000000000001,0.38423028785982477
3,21,Tanh,2.500000000000001,0.3904881101376721
3,21,Tanh,2.600000000000001,0.3479349186483104
3,21,Tanh,2.700000000000001,0.3617021276595745
3,21,Tanh,2.800000000000001,0.34918648310387984
3,21,Tanh,2.9000000000000012,0.3829787234042553
4,17,ReLU,0.6,0.6220275344180225
4,17,ReLU,0.7,0.5982478097622027
4,17,ReLU,0.7999999999999999,0.5832290362953693
4,17,ReLU,0.8999999999999999,0.5319148936170213
4,17,ReLU,0.9999999999999999,0.55819774718398
4,17,ReLU,1.0999999999999999,0.490613266583229
4,17,ReLU,1.2,0.5644555694618273
4,17,ReLU,1.3,0.47684605757196497
4,17,Sigmoid,1.4000000000000001,0.32916145181476847
4,17,Sigmoid,1.5000000000000002,0.4806007509386733
4,17,Sigmoid,1.6000000000000003,0.5594493116395495
4,17,Sigmoid,1.7000000000000004,0.6195244055068836
4,17,Sigmoid,1.8000000000000005,0.3141426783479349
4,17,Sigmoid,1.9000000000000006,0.6645807259073843
4,17,Sigmoid,2.0000000000000004,0.6107634543178974
4,17,Sigmoid,2.1000000000000005,0.4618272841051314
4,17,Softmax,3.0000000000000013,0.32916145181476847
4,17,Softmax,3.1000000000000014,0.3141426783479349
4,17,Softmax,3.2000000000000015,0.32916145181476847
4,17,Softmax,3.3000000000000016,0.32916145181476847
4,17,Softmax,3.4000000000000017,0.3566958698372966
4,17,Softmax,3.5000000000000018,0.3566958698372966
4,17,Softmax,3.600000000000002,0.32916145181476847
4,17,Softmax,3.700000000000002,0.3566958698372966
4,17,Tanh,2.2000000000000006,0.3304130162703379
4,17,Tanh,2.3000000000000007,0.3091364205256571
4,17,Tanh,2.400000000000001,0.36295369211514394
4,17,Tanh,2.500000000000001,0.35544430538172717
4,17,Tanh,2.600000000000001,0.3617021276595745
4,17,Tanh,2.700000000000001,0.311639549436796
4,17,Tanh,2.800000000000001,0.3867334167709637
4,17,Tanh,2.9000000000000012,0.3667083854818523
4,18,ReLU,0.6,0.6032540675844806
4,18,ReLU,0.7,0.6207759699624531
4,18,ReLU,0.7999999999999999,0.5506883604505632
4,18,ReLU,0.8999999999999999,0.5594493116395495
4,18,ReLU,0.9999999999999999,0.5632040050062578
4,18,ReLU,1.0999999999999999,0.5682102628285357
4,18,ReLU,1.2,0.571964956195244
